ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (ml),Stress-Weighted Water Use (ml)
R-62113,SL|Herb'd Pork Loin|+4,GV SIMPLY LOCAL,0,0,0,0,0
R-37708,SL|Herb'd Pork Loin||125g,GV SIMPLY LOCAL,0,0,0,0,0
R-62125,SL|Maple salmon|+1,GV SIMPLY LOCAL,0,0,0,0,0
R-62126,SL|Maple salmon|+2,GV SIMPLY LOCAL,0,0,0,0,0
R-62124,SL|Maple salmon|+3,GV SIMPLY LOCAL,0,0,0,0,0
R-45376,SL|Maple salmon|100g,GV SIMPLY LOCAL,0,0,0,0,0
R-62140,SL|Olive Stuff Chicken Breas,GV SIMPLY LOCAL,0,0,0,0,0
R-62132,SL|Peppercorn Pork Chop|+1,GV SIMPLY LOCAL,0,0,0,0,0
R-62134,SL|Peppercorn Pork Chop|+2,GV SIMPLY LOCAL,0,0,0,0,0
R-62135,SL|Peppercorn Pork Chop|+3,FOOD,0,0,0,0,0
R-62133,SL|Peppercorn Pork Chop|+4,FOOD,0,0,0,0,0
R-62127,SL|Peppercorn Pork Chop|170g,GV SIMPLY LOCAL,0,0,0,0,0
R-62152,SL|Salmon gremolata|+1,GV SIMPLY LOCAL,0,0,0,0,0
R-62151,SL|Salmon gremolata|+2,GV SIMPLY LOCAL,0,0,0,0,0
R-62150,SL|Salmon gremolata|+3,GV SIMPLY LOCAL,0,0,0,0,0
R-62149,SL|Salmon gremolata|100g,GV SIMPLY LOCAL,0,0,0,0,0
R-62715,SL|Salmon Lemon herb|+1,GV SIMPLY LOCAL,0,0,0,0,0
R-62714,SL|Salmon Lemon herb|+2,GV SIMPLY LOCAL,0,0,0,0,0
R-62097,SL|Salmon Lemon herb|+3,GV SIMPLY LOCAL,0,0,0,0,0
R-62096,SL|Salmon Lemon herb|100g,GV SIMPLY LOCAL,0,0,0,0,0
R-36860,SL|Sauce|Add|Chimichurri ,GV SIMPLY LOCAL,0,0,0,0,0
R-45146,SL|Sauce|Add|Gremolata ,GV SIMPLY LOCAL,0,0,0,0,0
R-62302,SL|Sauce|RATIO|NEW,GV SIMPLY LOCAL,0,0,0,0,0
