PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission (g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom
P-49662,GRILLED|Zucchini,1.000,Kg,,1000.0,g,1321.9572,1.3219572000000002,0.9531,0.0009530999999999999,135807.6,135.8076,6455765.2,6455.7652
P-61660,JULIENNE|Beets,900.000,g,,900.000,g,306.20000000000005,0.34022222222222226,0.79,0.0008777777777777778,9900.0,11.0,37900.0,42.111111111111114
P-56490,MARINADE|Bahn Mi Chicken,10.000,Kg,,10000.0,g,44148.82100000001,4.414882100000001,117.04415,0.011704415000000001,3718522.25,371.852225,3986457.25,398.645725
P-26331,MARINATED|Chili LimeTofu,4.000,Kg,PREP,4000.0,g,8791.0152,2.1977538,3.9044,0.0009760999999999999,102948.8,25.7372,3427411.6,856.8529
P-31944,OK - PREP CEREAL CONGEE,2.200,L,PREP,2200.0,ml,506.9,0.2304090909090909,0.106,4.818181818181818e-05,316980.0,144.0818181818182,927120.0000000001,421.4181818181819
P-49660,PICKLED|Beets (yellow & red),2.500,Kg,ZDONT USE OK - PREP,2500.0,g,3740.2637000000004,1.4961054800000002,2.389575,0.00095583,39209.6,15.68384,149538.7,59.81548000000001
P-13648,PREP|Croutons,2.268,Kg,PREP,2268.0,g,1964.1856078295486,0.8660430369618821,1.3496151048195286,0.0005950683883683989,399916.12968942313,176.329863178758,13107764.008084154,5779.437393335164
P-53994,ROASTED|Peppers,4.500,Kg,,4500.0,g,324.01,0.07200222222222222,0.002,4.4444444444444444e-07,140.0,0.03111111111111111,1360.0,0.3022222222222222
P-35801,ROASTED|Yams,2.000,Kg,,2000.0,g,1217.26,0.60863,1.127,0.0005635,22415.0,11.2075,86635.0,43.3175
P-56849,SALAD|Slaw|Green Papaya ,2.250,Kg,,2250.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P-50506,SAUTEED|Peppers,1.000,Kg,,1000.0,g,898.4660000000001,0.8984660000000001,1.1072000000000002,0.0011072000000000002,113904.0,113.904,4116116.0,4116.116
P-54581,SLICE|Multigrain Bread,22.000,slice,,22.000,slice,913.5000000000365,41.52272727272893,0.8880000000000354,0.040363636363637975,251520.00000001004,11432.727272727729,7693020.000000308,349682.72727274126
P-31111,SOUP|Miso,20.000,L,PREP,20000.0,ml,4059.8050000000003,0.20299025,1.3965,6.9825e-05,39245.0,1.96225,241495.0,12.07475
P-54657,YIELD|Avocado,120.000,g,,120.000,g,58.56160936985749,0.4880134114154791,0.03672000587520094,0.0003060000489600078,476.00007616001216,3.966667301333435,639.2001022720164,5.32666751893347
P-45255,YIELD|Chicken Strips,70.000,piece,,4550.000113750003,g,19362.904000000002,4.255583190313715,46.7312,0.010270593149828571,1519000.0,333.8461455,4099123.2,900.9061752795428
P-57092,YIELD|Chopped Romaine,620.000,g,PREP,620.000,g,389.37299679487177,0.6280209625723738,0.494541266025641,0.0007976472032671629,34117.087339743586,55.02756022539288,1554612.3798076923,2507.439322270471
P-50809,YIELD|Country Loaf|Slice,18.000,slice,,936.000011232,g,691.2150539147743,0.7384776128420873,0.6719200524097643,0.0007178632952422262,190316.81484471157,203.32992794968996,5821052.254042077,6219.072846356251
P-50695,YIELD|Lettuce Green Leaf,8.500,lb,,3855.5319999999997,g,2821.34224,0.731764705882353,3.5833768000000004,0.0009294117647058825,247207.64,64.11764705882354,11264503.728,2921.6470588235297
