ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-1917,43,HONEY LIQUID SQUEEZE CAN,2.2,fl oz,1.0,fl oz,N
I-5908,31,Cranberries Dried TFC,100.0,g,1.0,g,N
I-7981,58,Mustard Dijon Hot Tub,1.0,Tbsp,1.0,ml,N
I-2355,22,STARCH CORN,50.0,g,1.0,g,Y
I-5942,36,Cauliflower,300.0,g,1.0,g,Y
I-1908,40,HERB OREGANO LEAVES ,10.0,g,385.0,fl oz,Y
I-2333,54,SPICE GARLIC POWDER 2kg,20.0,g,385.0,g,Y
I-6461,54,Citric Acid Powder,5.0,g,385.0,g,Y
I-7645,38,Spice Garlic Granulated 700g,20.0,g,385.0,g,Y
I-12361,54,SPICE SMOKED PAPRIKA,65.0,g,385.0,g,Y
I-14977,31,HABANERO peppers,75.0,g,385.0,g,Y
I-8389,4,ITEM BUTTERMILKCHICKEN,200.0,g,1.0,g,N
I-2121,57,PICKLE DILL SANDW LONG SLCD,1.0,slice,1.0,slice,N
I-3498,6,Cheese Cheddar Slices 21gm,1.0,slice,1.0,slice,N
I-8454,58,ITEM BURGER SAUCE,2.0,fl oz,1.0,ml,N
I-14218,1,Burger - Craft 6oz,1.0,ea,1.0,ea,N
I-1958,37,KETCHUP VOL PAK,60.0,ml,1.0,ml,N
I-11000,58,ITEM QUESO SAUCE,8.0,fl oz,1.0,fl oz,N
I-14294,41,Tortilla Chip Que Pasa,10.0,oz,1.0,g,N
I-14531,57,Casa Fiesta Jalapeno slcd,8.0,oz,1.0,g,N
I-3337,37,TOMATO - CHERRY,4.0,ea,1.0,ea,N
I-3914,36,Salad Tuscan Mix (Arcadian),3.0,oz,1.0,oz,N
I-12351,26,SESAME BLACK 5LB SK,2.0,g,1.0,g,N
I-14505,41,NOODLES sweet potato,5.0,oz,1.0,g,N
I-14732,20,Porch Item Sesame Tofu,200.0,g,1.0,Kg,N
I-2181,25,RICE BASMATI TEXANA INDIA,2400.0,g,30.0,g,Y
I-8151,18,pea greens,0.5,LBS,30.0,LBS,Y
I-3005,40,BASIL Fresh,5.0,g,1.0,oz,N
I-12135,36,Bok Choy Shanghai,20.0,g,1.0,oz,N
I-13746,26,ITEM 2019 Thai Green Curry,6.0,fl oz,1.0,ml,N
I-14822,54,Pepper Red,1.0,oz,1.0,oz,N
I-3354,61,"Knotted Skewer Bamboo 4""",1.0,ea,1.0,ea,N
I-2103,55,PEACH SLCD IN PEAR JUICE,300.0,ml,300.0,ml,N
