Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-16786,2022 Quinoa Puffed,N,Red,True,False,False,2189.5515000000005,6.13375,3.615,911.77,64683.25,430.17,1.21,179.13,12707.91,0.71
R-16783,2022 Quinoa Salad,N,Green,False,False,True,72.2955594703259,1.05306999396361,0.166827999877744,6.12,289.74,54.24,0.79,4.59,217.36,0.13
R-16784,2022 Roasted Carrots,N,Green,False,False,True,261.33140000000003,4.006,0.539399999999999,5.82,70.09,50.06,0.77,1.11,13.43,0.1
R-16861,2022 roasted pork,N,Red,True,False,False,46657.55167571875,617.2736764375001,102.82439502812451,8346.99,250140.55,810.6,10.72,145.02,4345.79,1.79
R-16835,2022 roasted tri color carrots,N,Green,False,False,True,260.89140000000003,4.006,0.539399999999999,5.82,70.09,50.08,0.77,1.12,13.45,0.1
R-16798,2022 Salmon Carbonara,N,Red,True,False,False,399.9918091311391,4.5497699893820105,0.5600579991525528,69.78,3164.49,564.96,6.43,98.56,4469.62,0.79
R-16585,2022 Salmon Teriyaki,N,Yellow,False,True,False,352.93710025,5.083674625,0.489028875,112.32,618.27,411.0,5.92,130.8,719.98,0.57
R-14983,2022 schezwan Tempeh,N,Green,False,False,True,393.926,2.26815475,1.149,7.32,324.86,115.49,0.66,2.15,95.24,0.34
R-17373,2022 sheperds Pie filing,N,Red,True,False,False,208726.335,1666.9,640.5224999999999,8420.14,306949.24,2658.93,21.23,107.26,3910.18,8.16
R-16859,2022 simlpe syrup,N,Green,False,False,True,656.56,0.0,0.956,4.24,26.28,109.43,0.0,0.71,4.38,0.16
R-16844,2022 simple syrup,N,Green,False,False,True,722.216,0.0,1.0516,4.68,28.92,106.74,0.0,0.69,4.27,0.16
R-16860,2022 slaw dressing,Y,Red,True,False,False,4702.373489245,3.437643915,15.5436278845,14.85,131.58,899.63,0.66,2.84,25.17,2.97
R-16862,2022 Sriracha mayo,N,Green,False,False,True,0.0,4.3875,0.0,13.15,737.7,0.0,0.68,2.02,113.49,0.0
R-8988,2022 Sub House salad,N,Green,False,False,True,23.683755947032587,0.338356999396361,0.0726527999877744,1.95,87.56,55.3,0.79,4.55,204.44,0.17
R-17362,2022 Sweet chili (chicken),N,Yellow,False,True,False,830.27901505,14.98324745,2.61457621499999,87.68,1581.01,280.74,5.07,29.65,534.58,0.88
R-17363,2022 Sweet chili (Tofu),N,Green,False,False,True,588.3225485,2.3138221,1.845790469999995,26.01,909.72,170.68,0.67,7.55,263.92,0.54
R-17350,2022 sweet chili Sauce Gallery,N,Yellow,False,True,False,1331.2284679849995,29.0370428375,3.46684368875,101.47,768.83,253.75,5.53,19.34,146.55,0.66
R-17353,2022 Sweet soy Glaze (Gallery),N,Green,False,False,True,0.019468,0.000135,3.48e-05,0.05,0.06,0.04,0.0,0.1,0.12,0.0
R-14504,2022 Tahini Dressing,Y,Green,False,False,True,1488.257970004677,2.6687200000734697,3.044517000011065,9.37,153.25,102.46,0.18,0.65,10.55,0.21
R-16006,2022 tex mex burger,N,Yellow,False,True,False,9427.63945103084,83.94784469115166,29.24709852547752,512.54,21415.5,278.9,2.48,15.16,633.55,0.87
R-17297,2022 To go Cutlery,N,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-14987,2022 Truffle Fries,N,Green,False,False,True,643.1619205712283,5.00854959994075,1.6413828949910736,42.55,2192.18,105.36,0.82,6.97,359.12,0.27
R-15057,2022 Vegan Burger,N,Green,False,False,True,442.44215500077,1.5742107785,1.8204161966999908,32.38,1426.5,179.75,0.64,13.15,579.53,0.74
R-16780,2022 Vegan Caesar dressing,Y,Green,False,False,True,9329.634340655002,17.2811064875,28.06863765,197.61,7782.28,258.04,0.48,5.47,215.24,0.78
R-16782,2022 Vegan Caesar Salad,N,Green,False,False,True,436.5722529280412,3.535250046583003,1.5074750070146885,41.28,1974.09,157.89,1.28,14.93,713.96,0.55
R-16858,2022 vegan crema,N,Red,True,False,False,19794.208737,14.9734845,65.22420869999999,63.35,860.54,826.23,0.63,2.64,35.92,2.72
