Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-44843,S&S|Udon Bowl|Vegetarian,FT STICKS AND SPOONS,Green,False,False,True,346.69440086836016,3.075174234900614,1.0120860775060438,50.33,1550.92,51.89,0.46,7.53,232.14,0.15
R-47538,S&S|Vegetable Gyoza|SIDE,FT SIDES ,Green,False,False,True,12.7584,0.03465,0.04749,0.75,23.68,212.64,0.58,12.5,394.67,0.79
R-62596,S&S|Wrap Sticky Rice|SIDE,FT DIM SUM,Yellow,False,True,False,4.31728,0.04407,0.0,1.35,19.17,431.73,4.41,135.0,1917.0,0.0
R-48475,SAL l Spinach Dip,FT SIDES ,Green,False,False,True,192.0537989399905,1.0384524045649337,0.1963075372768949,6.09,746.28,165.56,0.9,5.25,643.34,0.17
R-57319,SALAD BAR| Mix||Medium 16oz,FEAST,Green,False,False,True,687.1626863445866,5.683092190789703,1.6175995057660717,68.97,3416.45,152.7,1.26,15.33,759.21,0.36
R-57318,SALAD BAR| Mix|Large|32oz,FEAST,Green,False,False,True,1145.2711439076445,9.471820317982838,2.6959991762767856,114.94,5694.08,152.7,1.26,15.33,759.21,0.36
R-57320,SALAD BAR| Mix|Small|9oz,FEAST,Green,False,False,True,419.9327527661363,3.4730007832603738,0.988533031301488,42.15,2087.83,152.7,1.26,15.33,759.21,0.36
R-57292,SALAD BAR|MIX|large|32oz,FOOD,Green,False,False,True,1349.7476472719852,11.1976937907529,3.2562767577637897,129.21,6242.91,179.97,1.49,17.23,832.39,0.43
R-57291,SALAD BAR|MIX|medium|16oz,FOOD,Green,False,False,True,809.8485883631912,6.71861627445174,1.9537660546582736,77.53,3745.74,179.97,1.49,17.23,832.39,0.43
R-57296,SALAD BAR|MIX|Small|9oz,FOOD,Green,False,False,True,494.9074706663946,4.105821056609397,1.1939681445133896,47.38,2289.07,179.97,1.49,17.23,832.39,0.43
R-57289,SALAD BAR|MIX|Topper,FOOD,Green,False,False,True,224.9579412119976,1.8662822984588168,0.5427127929606316,21.54,1040.48,179.97,1.49,17.23,832.38,0.43
R-53921,SALAD|Wedge Canape DOZ|FORMAL,FEAST,Red,True,False,False,2452.939513636364,31.15331363636364,4.611298636363619,427.53,15402.27,704.87,8.95,122.85,4425.94,1.33
R-54725,SALMON|Roasted Plate (Test),FEAST,Green,False,False,True,904.6786660982611,10.6807093389647,1.8828177898586895,268.82,2582.35,180.94,2.14,53.76,516.47,0.38
R-45838,SAND|Add|Bacon,FT SWEETGREEN,Red,True,False,False,560.3955,7.569600000000001,0.0,103.19,3091.83,2801.98,37.85,515.95,15459.15,0.0
R-44681,SAND|Add|Beef,FT SWEETGREEN,Red,True,False,False,1972.5217560895244,15.690701512380954,6.039262800190476,79.87,2919.49,4931.3,39.23,199.68,7298.72,15.1
R-44678,SAND|Add|Cheese,FT SWEETGREEN,Red,True,False,False,66.82800124745602,0.6997500130620002,0.0784500014644,11.69,603.47,477.34,5.0,83.5,4310.5,0.56
R-44679,SAND|Add|Falafel ,FT SWEETGREEN,Green,False,False,True,67.104,0.236,0.518,0.0,0.0,167.76,0.59,0.0,0.0,1.3
R-44680,SAND|Add|Ham,FT SWEETGREEN,Red,True,False,False,19.663,0.2656,0.0420399999999998,3.62,108.49,983.15,13.28,181.0,5424.5,2.1
R-44682,SAND|Add|Turkey,FT SWEETGREEN,Red,True,False,False,309.381412,7.853486666666665,0.8003733333333334,24.92,26.41,515.64,13.09,41.53,44.02,1.33
R-43880,SAND|Ham|Full Build,FT SWEETGREEN,Green,False,False,True,254.35628067514344,3.08790564251132,0.4412851874561755,30.53,1279.96,82.05,1.0,9.85,412.89,0.14
R-43885,SAND|Roast Beef|Full Build,FT SWEETGREEN,Green,False,False,True,242.6521140084768,2.9298104044160818,0.4162613779323661,28.38,1215.38,75.83,0.92,8.87,379.81,0.13
R-53939,SAND|ShrimpRoll MiniDOZ|FORMA,FEAST,Red,True,False,False,6490.670014285715,21.87552857142857,1.0498871428571417,373.74,15002.47,1386.9,4.67,79.86,3205.66,0.22
R-43884,SAND|Turkey|Full Build,FT SWEETGREEN,Green,False,False,True,374.64010740907713,6.43381022921609,0.761561360667367,39.49,1225.39,118.56,2.04,12.5,387.78,0.24
R-28374,SAND|Veg|Full Build,FT SWEETGREEN,Green,False,False,True,227.83438170425345,2.875668656754553,0.4014808257920688,27.64,1172.23,91.29,1.15,11.07,469.69,0.16
R-57295,SAUCE|DIPPING|BULK,FT GRILL DAY,Green,False,False,True,0.0,0.2025,0.0,0.61,34.05,0.0,0.68,2.03,113.5,0.0
R-44415,Savoury Chaat,FEAST,Green,False,False,True,102.0314652202201,0.6093668936135805,0.5027796716292076,2.88,151.4,109.38,0.65,3.09,162.3,0.54
R-65464,SB|Chili + Biscuit,FT HOMESKILLET,Red,True,False,False,4136.284414638692,35.89583637173448,12.367310120524728,240.53,8454.74,1400.94,12.16,81.47,2863.59,4.19
R-39813,SCALLOPD POT,FT HOMESKILLET,Green,False,False,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0
R-44867,sdfsfa,FEAST,Green,False,False,True,211.6964676699294,1.8904920037898276,0.6474481054977301,44.73,1370.18,78.41,0.7,16.57,507.47,0.24
R-38238,SHANGHAI NOODLES,FT GRILL FREATURES,Green,False,False,True,178.15952290864058,1.7318626857457349,0.5722167927903019,49.05,1500.37,104.74,1.02,28.84,882.07,0.34
R-23937,SIDE BAR BOWL,ZDONT USE FOOD,Green,False,False,True,452.43371397995634,2.7498631787069847,0.6400424302945649,102.72,1314.54,90.49,0.55,20.54,262.91,0.13
R-57321,SIDE BAR|Bowl,FEAST,Green,False,False,True,407.1903425819607,2.474876860836286,0.5760381872651085,92.45,1183.09,90.49,0.55,20.54,262.91,0.13
