ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-4599,0.13333333,1.0,Tbsp,7.5,g
I-4599,0.00220264,1.0,HEAD,454.0,g
I-4601,0.00990099,1.0,cup,101.0,g
I-4621,0.0625,0.25,cup,4.0,g
I-4621,0.35714286,1.0,BUNCH,2.8,oz
I-4626,0.00263158,1.0,CT,380.0,g
I-4640,0.07692308,1.0,cs,13.0,Kg
I-4640,0.00833333,1.0,CT,120.0,g
I-4664,0.00813008,1.0,CT,123.0,g
I-4677,0.00277778,1.0,CT,360.0,g
I-4677,0.00277778,1.0,HEAD,360.0,g
I-4679,0.06666667,1.0,BUNCH,15.0,g
I-4690,0.2,1.0,leaf,5.0,g
I-4690,0.00613497,1.0,CT,163.0,g
I-4693,0.0013245,1.0,CT,755.0,g
I-4698,0.004,1.0,CT,250.0,g
I-4699,0.005,1.0,BUNCH,200.0,g
I-4700,0.004,1.0,CT,250.0,g
I-4702,0.01449275,1.0,HEAD,69.0,g
I-4709,0.01190476,1.0,CT,84.0,g
I-4712,0.01492537,1.0,CT,67.0,g
I-4736,0.05263158,1.0,each,19.0,g
I-4745,0.00666667,1.0,ea,150.0,g
I-4764,0.00763359,1.0,CT,131.0,g
I-4772,0.26315789,1.0,Tbsp,3.8,g
I-4772,0.01,1.0,BUNCH,100.0,g
I-4784,0.00434783,1.0,CT,230.0,g
I-4804,0.00110497,1.0,CT,905.0,g
I-4823,0.125,1.0,leaf,8.0,g
I-4823,0.0027027,1.0,HEAD,370.0,g
I-4826,0.0025,1.0,BUNCH,400.0,g
I-4829,0.00813008,1.0,cup,123.0,g
I-4829,0.00588235,1.0,BASKET,170.0,g
I-4844,0.00159744,1.0,HEAD,626.0,g
I-4894,0.04,1.0,ea,25.0,g
I-4915,0.02777778,1.0,cup,36.0,g
I-4915,0.02083333,1.0,leaf,48.0,g
I-4915,0.00285714,1.0,HEAD,350.0,g
I-4949,0.00022134,1.0,CT,4518.0,g
I-5977,0.38461538,1.0,tsp,2.6,g
I-5977,0.14285714,1.0,piece,7.0,g
I-5977,0.12820513,1.0,Tbsp,7.8,g
I-5983,0.03378378,1.0,fl oz,29.6,g
I-5983,0.001,1.0,L,1000.0,g
I-6006,0.22222222,1.0,tsp,4.5,g
I-6006,0.07407407,1.0,Tbsp,13.5,g
I-6006,0.00462963,1.0,cup,216.0,g
I-6017,0.0016125,0.1613,L,100.0,g
I-6017,0.14285714,1.0,slice,7.0,g
I-6017,0.01538462,1.0,piece,65.0,g
I-6443,0.03246753,1.0,fl oz,30.8,g
I-6443,0.00406504,1.0,cup,246.0,g
I-6775,0.00549451,1.0,CT,182.0,g
I-6777,0.00159744,1.0,CT,626.0,g
I-6791,0.00411523,1.0,cup,243.0,g
I-6812,0.00909091,1.0,cup,110.0,g
I-6832,0.00909091,1.0,cup,110.0,g
P-6888,2.84,2.84,L,1.0,LG CAN
I-7060,0.03401361,1.0,fl oz,29.4,g
