ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g * sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-36666,FF|Bowl|Five Alarm,GV FRESH FARE DAY,756.3079631,471.0,0.7563,0.160575,160.574939,1287,206659.9465,1.69,533.88,0.34
R-53975,FREE|Greens|Latino Bowl,GV - CALIENTE,752.5031217,470.0,0.7525,0.160107,160.107047,3,480.321141,0.74,379.8,0.71
R-36628,CAL|Side|Rice&Beans,GV - CALIENTE,187.8000889,120.0,0.1878,0.1565,156.500074,21,3286.501554,0.52,148.35,0.76
R-14068,SIDE|Soup|Congee|Meat,GV - SOUP,738.6959904,473.176,0.7387,0.156114,156.114425,5525,862532.1981,1.4,352.27,0.45
R-53150,GRL|French Toast (2) Special,SPECIALS,311.6340639,200.000042,0.3116,0.155817,155.816999,84,13088.62792,1.04,899.47,0.41
R-53619,FREE|Greens|Thai Coconut|,GV FRESH FARE DAY,671.4854064,434.0,0.6715,0.15472,154.72014,9,1392.48126,0.5,1044.1,0.27
R-46347,FF|Pasta|Avocado Spin old,GV FRESH FARE DAY,541.5918774,355.0,0.5416,0.152561,152.561092,8,1220.488736,1.4,1130.23,0.4
R-48484,G&G|Donut|Glazed|Package,GV - GRAB & GO,21.315,14.0,0.0213,0.15225,152.25,416,63336.0,1.48,1282.14,0.49
R-48482,G&G|Donut|Chocolate|Package,GV - GRAB & GO,21.315,14.0,0.0213,0.15225,152.25,276,42021.0,1.48,1282.14,0.49
R-49122,G&G|Macarons (8),GV - GRAB & GO,12.18,8.0,0.0122,0.15225,152.25,251,38214.75,1.48,1282.12,0.49
R-48483,G&G|Donut|Powdered|Package,GV - GRAB & GO,24.36,16.0,0.0244,0.15225,152.25,168,25578.0,1.48,1282.19,0.49
R-53364,DES|Cookie|6 pack,GV - DESSERT,9.135,6.0,0.0091,0.15225,152.25,50,7612.5,1.48,1282.17,0.49
R-54319,G&G|Croissant|Chocolate|Mini 6,GV - GRAB & GO,9.135,6.0,0.0091,0.15225,152.25,12,1827.0,1.48,1282.17,0.49
R-54462,G&G|Cinnamon Bun|Mini (6),GV - GRAB & GO,9.135,6.0,0.0091,0.15225,152.25,3,456.75,1.48,1282.17,0.49
R-51223,FLX|Bao|Bowl|Smoked Tofu,GV FLEX BAO,430.7414734,285.0,0.4307,0.151137,151.137359,91,13753.49967,0.51,150.99,0.34
R-35900,CAL|Bowl|Latino,GV - CALIENTE,556.6267746,370.0,0.5566,0.15044,150.439669,1632,245517.5398,0.72,351.96,0.69
R-45982,FREE|Greens|Five Alarm Bowl,GV FRESH FARE DAY,685.9871937,466.0,0.686,0.147208,147.207552,8,1177.660416,1.66,514.12,0.27
R-54729,FLX|Rotini & Veggie Pesto|SP,SPECIALS,565.4935007,386.0,0.5655,0.146501,146.500907,135,19777.62245,1.36,756.21,0.37
