ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g * sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-44734,GRL|Side|Turkey Sausage (2),GV - GRILL BREAKFAST,676.140665,155.0000375,0.6761,0.43622,436.219678,4659,2032347.48,11.3,32.32,1.16
R-44931,GRL|Burger|Salmon,GV GRILL DAY,657.6050717,151.0,0.6576,0.4355,435.500047,1404,611442.066,3.96,1019.61,0.57
R-36654,GRL|Egg|Scrambled Scoop.,GV - GRILL BREAKFAST,539.9854847,125.0,0.54,0.431988,431.988388,4344,1876557.557,7.2,2190.73,0.81
R-44376,FLX|Butter Chicken,GV FLEX GLOBAL BOWL,1901.162053,467.0,1.9012,0.407101,407.101082,3403,1385364.982,4.19,1111.72,0.68
R-54867,GRL|Calzone|blend|SP,SPECIALS,330.4462417,84.0,0.3304,0.393388,393.388383,26,10228.09796,4.61,3183.52,0.49
R-14081,G&G|Cereal Cold|Large| & Milk,GV - GRAB & GO,660.9819258,178.441,0.661,0.37042,370.420434,85,31485.73689,1.09,719.84,0.23
R-54671,G&G|Meatball & Spaghetti|Pack,GV - GRAB & GO,1618.191391,445.1385,1.6182,0.363525,363.525373,28,10178.71044,4.49,2230.85,0.74
R-55270,PASTA|Chicken Pasta|SP,SPECIALS,1702.479491,472.796,1.7025,0.360088,360.087541,34,12242.97639,4.96,1243.42,0.67
R-44739,ADD|Creamed Spin|Omelet,ADD ONS,251.9484945,70.0,0.2519,0.359926,359.926421,935,336531.2036,2.39,1690.41,0.5
R-51173,SL|maple bals Pork Loin|+ 3,GV SIMPLY LOCAL,1902.277541,532.0,1.9023,0.357571,357.570966,1530,547083.578,4.29,1681.46,0.84
R-38256,GRL|Egg Any Style,GV - GRILL BREAKFAST,139.1102604,39.00000033,0.1391,0.356693,356.692972,3661,1305852.97,5.47,1662.79,0.76
R-35879,CAL|Taco|Cod(1),GV - CALIENTE,520.0388785,147.0,0.52,0.353768,353.767945,1087,384545.7562,2.82,1305.22,0.51
R-54786,FLX|Baked Chicken Alfredo|Sp,SPECIALS,1698.20562,482.796,1.6982,0.351744,351.743929,110,38691.83219,5.0,1690.36,0.64
