ProdId,Description,SalesGroup
R-50800,VEG|TOAST|Ricotta Butternut,OK- VEGETARIAN KITCHEN FEATURE
R-56510,VEG|Toast|Southwest Avocado,OK - VEGETARIAN KITCHEN
R-56511,VEG|Toast|Westcoast Avocado,OK - VEGETARIAN KITCHEN
R-58265,DIM SUM|Chicken Gyoza (3),OK - DIM SUM
R-63876,DIMSUM|Shrimp & Pork Wonton,OK - DIM SUM
R-22618,GRL|Add Cheese|1 slice,FT GRILL DAY
R-28293,GRL|Crispy Chicken Strips,OK - GRILL KITCHEN DAY
R-35015,GRL|French Fries,OK - GRILL KITCHEN DAY
R-54875,GRL|Poutine|Original,OK - GRILL KITCHEN DAY
R-55142,GRL|Salad|Baja ,OK - GRILL KITCHEN DAY
R-34864,GRL|Salad|Chef,OK - GRILL KITCHEN DAY
R-60537,GRL|Salad|Chef's Side,OK - GRILL KITCHEN DAY
R-50574,GRL|Salad|Cobb,OK - GRILL BRUNCH
R-58385,GRL|Salad|Cobb|SIDE,OK - GRILL KITCHEN DAY
R-61656,GRL|Salad|Kale Caesar,OK - GRILL KITCHEN DAY
R-43746,GRL|Salad|Signature,OK - GRILL KITCHEN DAY
R-50894,GRL|Salad|Signature|SIDE,OK - GRILL KITCHEN DAY
R-57819,GRL|Salad|Spicy Caesar,OK - GRILL KITCHEN DAY
R-53848,GRL|Salad|Spicy Caesar|Side,OK - GRILL KITCHEN DAY
R-35014,GRL|Yam Fries,OK - GRILL KITCHEN DAY
R-37170,CST|Beef,OK - CUSTOM KITCHEN
R-37171,CST|Chicken,OK - CUSTOM KITCHEN
R-51828,CST|Fried Rice Friday|Meat,OK - CUSTOM KITCHEN
R-51276,CST|Fried Rice Friday|No Meat,OK - CUSTOM KITCHEN
R-37172,CST|Salmon,OK - CUSTOM KITCHEN
R-61698,CST|SAUCE|Curry Red,OK - CUSTOM KITCHEN
R-61696,CST|SAUCE|Gochujang,OK - CUSTOM KITCHEN
R-51942,CST|SAUCE|Green Onion Ginger,OK - CUSTOM KITCHEN
R-61692,CST|SAUCE|Green Thai Curry,OK - CUSTOM KITCHEN
R-59573,CST|SAUCE|Kung Pao,OK - CUSTOM KITCHEN
R-58390,CST|SAUCE|Lemon Sesame,OK - CUSTOM KITCHEN
R-61695,CST|SAUCE|Spicy Korean BBQ,OK - CUSTOM KITCHEN
R-55488,CST|SAUCE|Sweet Chili,OK - CUSTOM KITCHEN
R-61694,CST|SAUCE|Tamarind,OK - CUSTOM KITCHEN
R-45371,CST|SAUCE|Teriyaki,OK - CUSTOM KITCHEN
R-61693,CST|SAUCE|Thai Basil Lime,OK - CUSTOM KITCHEN
R-61697,CST|SAUCE|Thai Cashew,OK - CUSTOM KITCHEN
R-57402,CST|SAUCE|Yellow Curry,OK - CUSTOM KITCHEN
R-37173,CST|Tofu,OK - CUSTOM KITCHEN
R-28301,CST|Veg Only,OK - CUSTOM KITCHEN
R-40736,DIM SUM|Beef Balls (3),OK - DIM SUM
R-52602,DIM SUM|Bun|BBQ Pork (1),OK - DIM SUM
R-52899,DIM SUM|Bun|Chicken (1),OK - DIM SUM
R-55834,DIM SUM|Bun|Vegetable (1),OK - DIM SUM
R-49029,DIM SUM|Dumplings (3),OK - DIM SUM
R-44499,DIM SUM|Egg Roll Veg (1),OK - DIM SUM
R-58264,DIM SUM|Pork Gyoza (3),OK - DIM SUM
R-29283,DIM SUM|Shrimp & Pork Siu Mai,OK - DIM SUM
R-29284,DIM SUM|Shrimp Ha Gow,OK - DIM SUM
R-29282,DIM SUM|Vegetable Gyoza (3),OK - DIM SUM
R-52601,DIM SUM|Wrap Sticky Rice (1),OK - DIM SUM
R-61509,SIDE|Mexican Corn,OK - SIDES
R-47416,SIDE|Salsa Guac Queso & Chips,OK - SQUARE MEAL
R-47422,SQR|Chicken Quesadilla,OK - SQUARE MEAL
R-57814,SQR|Chicken Quesadilla +1,OK - SQUARE MEAL
R-61680,SQR|Chicken Quesadilla +2,OK - SQUARE MEAL
R-56885,SQR|Dahl & Cauliflower Rice,OK - SQUARE MEAL
R-58657,SQR|Dahl & Cauliflower Rice+1,OK - SQUARE MEAL
R-62022,SQR|Dahl & Cauliflower Rice+2,OK - SQUARE MEAL
R-56888,SQR|Korean Short Rib,OK - SQUARE MEAL
R-56889,SQR|Korean Short Rib + 1,OK - SQUARE MEAL
R-57226,SQR|Korean Short Rib +2,OK - SQUARE MEAL
R-56822,SQR|Korean Spinach,OK - SQUARE MEAL
R-51468,SQR|Tandoori Chicken Leg +1,OK - SQUARE MEAL
R-42368,SQR|Tandoori Chicken Leg +2,OK - SQUARE MEAL
R-51467,SQR|Tandoori Chicken Leg 225g,OK - SQUARE MEAL
R-47424,SQR|Tofu Sofrito Quesadilla,OK - SQUARE MEAL
R-57815,SQR|Tofu Sofrito Quesadilla +1,OK - SQUARE MEAL
R-61679,SQR|Tofu Sofrito Quesadilla +2,OK - SQUARE MEAL
R-56902,SQR|Vegan Lettuce Wrap,OK - SQUARE MEAL
R-57810,SQR|Vegan Lettuce Wrap +1,OK - SQUARE MEAL
R-57811,SQR|Vegan Lettuce Wrap +2,OK - SQUARE MEAL
