IngredientId,Qty,Uom,Conversion,InvFactor,Recipe
I-19152,4.500,Kg,1.00000000,0.3462,P-26067
I-26960,6.000,L,1.00000000,0.4615,P-26067
I-2980,40.000,g,0.00100000,3.0769,P-26067
I-3336,4.000,L,1.00000000,0.3077,P-26067
I-3364,125.000,g,1.00000000,9.6154,P-26067
I-3388,225.000,ml,0.00100000,17.3077,P-26067
I-3447,200.000,ml,1.00000000,15.3846,P-26067
I-3595,75.000,ml,0.00100000,5.7692,P-26067
I-3639,70.000,g,1.00000000,5.3846,P-26067
I-3658,400.000,g,0.00100000,30.7692,P-26067
I-47774,250.000,ml,0.00100000,19.2308,P-26067
I-4894,225.000,g,0.00220462,17.3077,P-26067
I-6443,250.000,ml,0.03381406,19.2308,P-26067
P-18907,10.000,g,1.00000000,0.7692,P-26067
I-4463,10.000,g,0.00220462,0.6667,P-26069
P-18907,0.100,g,1.00000000,0.0067,P-26069
P-26058,5.000,ml,0.00100000,0.3333,P-26069
I-60772,4.000,L,1.00000000,0.8000,P-26074
I-6443,16.000,oz,0.92043824,3.2000,P-26074
I-9382,500.000,ml,0.00100000,100.0000,P-26074
P-18907,45.000,g,1.00000000,9.0000,P-26074
P-48495,50.000,g,1.00000000,10.0000,P-26074
P-7444,30.000,g,0.00100000,6.0000,P-26074
I-3660,5.000,g,0.00100000,1.0000,P-26075
I-6026,1.000,g,1.00000000,0.2000,P-26075
P-26074,1.000,L,1.00000000,0.2000,P-26075
P-34293,3.000,Kg,1.00000000,0.6000,P-26075
P-44475,750.000,g,1.00000000,150.0000,P-26075
P-9712,2.000,Kg,1.00000000,0.4000,P-26075
I-1813,125.000,ml,0.03381406,55.1146,P-26077
I-8060,4.000,lb,453.59200000,1.7637,P-26077
P-18907,45.000,g,1.00000000,19.8413,P-26077
P-44728,60.000,g,1.00000000,26.4550,P-26077
P-7444,335.000,g,0.00100000,147.7072,P-26077
I-3388,258.000,ml,0.00100000,15.1765,P-26086
I-3658,795.000,g,0.00100000,46.7647,P-26086
I-3660,2.320,Kg,1.00000000,0.1365,P-26086
I-47774,4.132,L,1.00000000,0.2431,P-26086
I-5983,10.330,L,1.00000000,0.6076,P-26086
P-34880,580.000,g,0.00100000,34.1176,P-26086
P-50495,517.000,ml,0.00100000,30.4118,P-26086
P-7444,587.000,g,0.00100000,34.5294,P-26086
I-1813,250.000,ml,0.03381406,83.3333,P-26333
I-60772,3.500,L,1.00000000,1.1667,P-26333
I-6443,125.000,ml,0.03381406,41.6667,P-26333
P-18907,5.000,g,1.00000000,1.6667,P-26333
P-44728,50.000,g,1.00000000,16.6667,P-26333
P-50676,5.000,g,1.00000000,1.6667,P-26333
I-4341,1.000,CT,1.00000000,0.0182,P-26514
I-3388,3.000,L,1.00000000,0.8571,P-26515
I-3642,5.000,g,1.00000000,1.4286,P-26515
I-3696,333.000,ml,1.00000000,95.1429,P-26515
I-4341,1.000,CT,1.00000000,0.2857,P-26515
I-47774,333.000,ml,0.00100000,95.1429,P-26515
I-4796,20.000,g,0.00220462,5.7143,P-26515
I-6028,100.000,g,0.00100000,28.5714,P-26515
I-6443,333.000,ml,0.03381406,95.1429,P-26515
I-9685,50.000,g,0.00220462,14.2857,P-26515
I-4693,8.000,CT,1.00000000,2.3516,P-26633
I-2866,2.840,L,35.21126761,0.1352,P-27317
I-3144,2.840,L,1.00000000,0.1352,P-27317
I-3149,5.680,L,1.00000000,0.2705,P-27317
I-3388,100.000,ml,0.00100000,4.7619,P-27317
I-3622,60.000,g,0.00100000,2.8571,P-27317
I-3630,40.000,g,0.03527399,1.9048,P-27317
I-3677,5.680,L,1.00000000,0.2705,P-27317
I-5983,4.000,L,1.00000000,0.1905,P-27317
P-18907,30.000,g,1.00000000,1.4286,P-27317
P-24750,50.000,g,0.00100000,2.3810,P-27317
P-38556,2.270,Kg,1.00000000,0.1081,P-27317
