IngredientId,Qty,Uom,Conversion,InvFactor,Recipe,Description,InventoryGroup,CategoryID,GHG_factor
I-65520,1.0,each,1,1.0,R-65531,MELONA BANANA,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-65519,1.0,each,1,1.0,R-65530,MELONA STRAWBERRY,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-42798,1.0,BAR,1,1.0,R-43012,POPSICLE MINIONS,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-16171,1.0,BAR,1,1.0,R-38146,KLONDIKE CONE STR/VAN KING,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-14934,1.0,BAR,1,1.0,R-33349,KLONDIKE VANILLA SANDWICH,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-48147,1.0,ea,1,1.0,R-65509,MELONA Mango Bars,MM Ice Cream,7.0,4.0163
I-3821,1.0,BAR,1,1.0,R-22959,FUDGSICLE SUPERSICLE FUDGE,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-65518,1.0,each,1,1.0,R-65529,MELONA MELON,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-3828,1.0,BAR,1,1.0,R-38297,MAGNUM ALMOND.,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-53014,1.0,ea,1,1.0,R-56320,COFFEE ICE TM HRTN DBL DBL,BEVERAGE,7.0,4.0163
I-21707,1.0,BAR,1,1.0,R-38723,KLONDIKE CONE CHOC/CRML KING,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-49669,1.0,BAR,1,1.0,R-49737,MAGNUM STRAWBERRIES & CREAM,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-34479,1.0,BAR,1,1.0,R-38393,MAGNUM DOUBLE COOKIES & CREAM,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-3825,1.0,BAR,1,1.0,R-38337,KLONDIKE GIANT COOKIE SANDWICH,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-3834,1.0,BAR,1,1.0,R-20403,REESE® ICE CREAM CUP,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-14932,1.0,BAR,1,1.0,R-38293,MAGNUM INFINITY,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-61562,1.0,BAR,1,1.0,R-66056,MAGNUM DK CHOCO TRUFFLE,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-34478,1.0,BAR,1,1.0,R-38301,MAGNUM DOUBLE RASPBERRY,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-25211,1.0,BAR,1,1.0,R-38300,MAGNUM DOUBLE CHOC VAN,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-3823,1.0,BAR,1,1.0,R-38298,KLONDIKE CONE CHOC/VAN KING,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-3830,1.0,BAR,1,1.0,R-38296,MAGNUM DOUBLE CARAMEL,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-41371,0.5,ea,1,1.0,R-71573,"QUICHE 4.25"" ASPAR & ASIAGO",FOOD - GROCERY,11.0,3.6615
I-68699,473.0,ml,1,0.002,P-68713,EGG LIQ*WHL VEGAN JUST EGG,DAIRY,11.0,3.6615
I-3344,0.2,PTN,1,1.0,R-22941,MARGARINE NONHYDROG PORT TFC,FOOD - GROCERY,44.0,3.1509
I-19633,174.0,g,1,0.1818,P-23837,YOGURT FROZEN MIX ,ICECREAM/NOVELTY/GELATO,10.0,2.9782
I-2170,1.0,PTN,1,1.0,R-23323,YOGURT DRINK ASST,DAIRY,10.0,2.9782
I-14189,1.0,CT,1,1.0,R-42608,YOGURT BLUEBERRY 175G,DAIRY,10.0,2.9782
I-45659,1.0,ea,1,1.0,R-52795,G&G|Pot|Yogurt Berries,PRODUCTION FOOD,10.0,2.9782
I-2199,1.0,CT,1,1.0,R-42604,YOGURT FLDBRY STIRRED 175G ,DAIRY,10.0,2.9782
I-20108,1.0,bag,1,1.0,R-64332,DAN D PAK YOGURT RAISINS,FOOD - GROCERY,10.0,2.9782
I-17692,0.2,ea,1,1.0,R-55816,YOGURT SOY BLUEBERRY,DAIRY,10.0,2.9782
I-2198,1.0,CT,1,1.0,R-42606,YOGURT STRAWBERRY STIRRED 175G,DAIRY,10.0,2.9782
I-20321,1.0,CT,1,1.0,R-39066,YOGURT STR STIRRED 175GR,DAIRY,10.0,2.9782
I-11662,1.0,CT,1,1.0,R-42605,YOGURT PEACH 175G STIRRED,DAIRY,10.0,2.9782
I-2197,1.0,CT,1,1.0,R-39809,YOGURT FF RASPBERRY 175G,DAIRY,10.0,2.9782
I-32228,0.5,ea,1,1.0,R-42486,YOGURT GREEK ALT PEACH ,DAIRY,10.0,2.9782
I-32226,0.5,ea,1,1.0,R-42486,YOGURT GREEK ALT BLACKCHERRY ,DAIRY,10.0,2.9782
I-2196,1.0,CT,1,1.0,R-38185,YOGURT FF PEACH 175G ,DAIRY,10.0,2.9782
I-2195,1.0,CT,1,1.0,R-38186,YOGURT FF FRENCH VANILA 175G ,DAIRY,10.0,2.9782
I-32229,0.5,ea,1,1.0,R-42485,YOGURT GREEK ALT STRAWBERRY ,DAIRY,10.0,2.9782
I-32227,0.5,ea,1,1.0,R-42485,YOGURT GREEK ALT BLUEBERRY,DAIRY,10.0,2.9782
I-20102,1.0,bag,1,1.0,R-64289,CRACKER RICE,FOOD - GROCERY,25.0,2.5345
I-1854,0.5,CT,1,1.0,R-22965,SOY RICE DREAM VANILLA,BEVERAGE,25.0,2.5345
I-13219,0.5,CT,1,1.0,R-22965,SOY RICE DREAM CHOCOLATE,BEVERAGE,25.0,2.5345
I-47433,1.0,pak,1,1.0,R-47460,ROLL FESTIVE CRUNCH,SUSHI,25.0,2.5345
I-16211,1.0,ea,1,1.0,R-23940,VALENTINES RICE CRISPY HEART,FOOD - GROCERY,25.0,2.5345
I-21725,1.0,ea,1,1.0,R-34368,QUAKER Crispy Minis BBQ,MM Snack Popcorn & Other,25.0,2.5345
I-52640,1.0,ea,1,1.0,R-55584,OAT ORG DRINK 250ML,BEVERAGE,23.0,2.3017
I-36044,1.0,ea,1,1.0,R-41331,BOB'S RED Oatmeal Cups Classic,MM Grocery Chill,23.0,2.3017
I-36046,1.0,ea,1,1.0,R-40931,BOB'S RED Oatmeal Cups Apple/C,MM Grocery Chill,23.0,2.3017
I-40912,1.0,ea,1,1.0,R-40929,BOB'S RED Oatmeal Cups bb/hznt,MM Grocery Chill,23.0,2.3017
I-40917,1.0,BAR,1,1.0,R-40926,BAR KIND OATS & HONEY,CANDIES SNACKS,23.0,2.3017
I-40915,1.0,BAR,1,1.0,R-40924,BAR KIND CHEWY DKCHOC CHUNK,CANDIES SNACKS,23.0,2.3017
I-36042,1.0,ea,1,1.0,R-40923,BOB'S RED Oatmeal Cups Maple B,MM Grocery Chill,23.0,2.3017
I-63632,1.0,BAR,1,1.0,R-63644,BAR KELLOG*PROTIEN COCONUT CHO,CANDIES SNACKS,23.0,2.3017
I-6144,3.0,CT,1,1.0,R-24113,CK BAR GRANOLA,PREP,23.0,2.3017
I-11362,1.0,CT,1,1.0,R-49813,MILK CHOC 1% 473ml,DAIRY,9.0,2.2325
I-14038,0.167,bottle,1,1.0,R-22301,MILK 2 GO COOK & CREAM 473ml,DAIRY,9.0,2.2325
I-14039,0.167,bottle,1,1.0,R-22301,MILK 2 GO ICED COFFEE 473ml,DAIRY,9.0,2.2325
I-9346,1.0,CT,1,1.0,R-22843,DIM SUM CHICKEN BUN,FOOD - GROCERY,59.0,1.986875
I-15239,57.0,g,1,3.0,P-14833,DIM SUM CHICKEN WONTON,FOOD - GROCERY,59.0,1.986875
I-3105,0.2,pak,1,1.0,R-22906,TOFU DESSERT ALMOND ,FOOD - GROCERY,20.0,1.7542
I-3107,0.2,pak,1,1.0,R-22906,TOFU DESSERT COCONUT,FOOD - GROCERY,20.0,1.7542
I-2809,1.0,CT,1,1.0,R-41931,SOYBEAN ROASTED BBQ,FOOD - GROCERY,20.0,1.7542
I-3914,0.1,CT,1,1.0,R-55164,HOT DOG*VEG 7IN 5/LB FZN TFC,MEAT,20.0,1.7542
I-3108,0.2,pak,1,1.0,R-22906,TOFU DESSERT CUSTARD ,FOOD - GROCERY,20.0,1.7542
I-3109,0.2,pak,1,1.0,R-22906,TOFU DESSERT PEACH MANGO ,FOOD - GROCERY,20.0,1.7542
I-3441,3.006,g,1,1.0,R-13177,PEANUT BUTTER*PORT TFC,FOOD - GROCERY,19.0,1.692
I-63633,1.0,BAR,1,1.0,R-63645,BAR KELLOG PROTIEN PNT BUTT CH,CANDIES SNACKS,19.0,1.692
I-63948,4.0,g,1,0.4,P-70969,NORA'S ND VANILLA BEAN,ICECREAM/NOVELTY/GELATO,17.0,1.6776
I-69988,1.0,each,1,1.0,R-50702,BURGER VEG*BLACK BEAN SPICY,FOOD - GROCERY,17.0,1.6776
I-37131,1.0,ea,1,1.0,R-55832,G&G|Dip|Hummus,PRODUCTION FOOD,17.0,1.6776
I-37130,1.0,ea,1,1.0,R-38649,G&G-Dip Hummus SW,PRODUCTION FOOD,17.0,1.6776
I-1789,1.0,bottle,1,1.0,R-37833,SMOOTHIE RASPBERRY & CHER,BEVERAGE,34.0,1.6547
I-2835,0.06,CT,1,1.0,R-22974,VITA SOY LESS SUGAR,BEVERAGE,43.0,1.6414
I-2825,0.07,CT,1,1.0,R-22974,VITA HONEY CHRYSANTHEMUM,BEVERAGE,43.0,1.6414
I-3816,1.0,BAR,1,1.0,R-22129,POPSICLE CYCLONE,ICECREAM/NOVELTY/GELATO,43.0,1.6414
I-34618,1.0,ea,1,1.0,R-55862,EASTER|Hot Cross Bun 6ea,PRODUCTION FOOD,43.0,1.6414
I-2831,0.07,CT,1,1.0,R-22974,VITA SUGAR CANE,BEVERAGE,43.0,1.6414
I-2291,1.0,CT,1,1.0,R-25177,SWIRLS48X21G,DAIRY,43.0,1.6414
I-55666,1.0,6 pk,1,1.0,R-56139,EASTER|Sugar Cookies  6ea,PRODUCTION FOOD,43.0,1.6414
