Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label,RED,YELLOW,GREEN
Caliente , Shrimp taco,R-61837,CAL|Taco|Oceanwise|Shrimp(1),GV - CALIENTE FEATURE,319,1179.165089,6.383942923,1.328357354,147.02,4940.77,369.64,2,46.09,1548.83,0.42,Yellow,Yellow,,TRUE,
Caliente , Picadillo Beef taco,R-68791,CAL|Taco|Picadillo Beef(1),GV - CALIENTE,387,3059.587291,24.92947653,9.229573169,211.89,7317.01,790.59,6.44,54.75,1890.7,2.38,Red,Red,TRUE,,
Caliente , Corn and goat cheese taco,R-57235,CAL|Taco|plant based|corn(1),GV - CALIENTE FEATURE,345,548.7201698,4.918143088,1.931104203,112.47,3600.58,159.05,1.43,32.6,1043.65,0.56,Green,Yellow,,TRUE,
Caliente , Pulled pork taco,R-44583,CAL|Taco|Pulled pork(1)|AAD,GV - CALIENTE,360,1226.336805,14.05653634,2.930460776,241.16,7399.1,340.65,3.9,66.99,2055.31,0.81,Yellow,Red,TRUE,,
Caliente , Spanich feta taco,R-54196,CAL|Taco|Spinach feta,SPECIALS,292,715.465834,7.246204851,1.404254008,135.09,5163.57,245.02,2.48,46.26,1768.35,0.48,Yellow,Yellow,,TRUE,
Caliente , Steak taco,R-55282,CAL|Taco|Steak(1)|AAD,GV - CALIENTE,337,3972.322023,31.71501274,12.29527297,244.84,8337.98,1178.73,9.41,72.65,2474.18,3.65,Red,Red,TRUE,,
Caliente , Sweet potato taco,R-35882,CAL|Taco|Sweet Potato|1 pc|AAD,FT BUENO,230,271.4325715,2.518418844,0.729033483,52.85,1644.43,118.01,1.09,22.98,714.97,0.32,Green,Green,,,TRUE
Gyaza , Acorn squash bowl,R-50363,GZA|Bowl|Acorn Squash|AAD,GV GYAZA,395,576.3748406,1.929179678,0.944057671,231.22,803.91,145.92,0.49,58.54,203.52,0.24,Green,Green,,,TRUE
Gyaza , Bibimbap bowl,R-49761,GZA|Bowl|Bibimbap Tofu,GV GYAZA,480,867.8638784,3.710334432,1.098851249,249.98,1576.2,180.8,0.77,52.08,328.38,0.23,Green,Green,,,TRUE
Gyaza , Togorash corn bowl,R-68822,GZA|Bowl|Corn togorashi ,GV GYAZA,345.6,637.2780162,1.980687112,1.233087258,233.82,835.23,184.4,0.57,67.66,241.68,0.36,Green,Green,,,TRUE
Gyaza , Crispy Cauliflower bowl,R-64725,GZA|Bowl|Crispy Cauli Bowl,GV GYAZA,453.6,759.410586,3.967780111,1.603493781,270.72,2191.08,167.42,0.87,59.68,483.04,0.35,Green,Green,,,TRUE
Gyaza , Karaage chicken bowl,R-50362,GZA|Bowl|Karaage Chicken|AAD,GV GYAZA,478,1139.885331,16.61568558,2.504236075,281.75,1147.5,238.47,3.48,58.94,240.06,0.52,Yellow,Yellow,,TRUE,
Gyaza , Kitsilano bowl,R-54342,GZA|Bowl|Kitsilano Tofu|AAD,GV GYAZA,385,746.7119482,2.007850368,1.571150551,230.04,751.23,193.95,0.52,59.75,195.12,0.41,Yellow,Green,,,TRUE
Gyaza , Salmon shiso bowl,R-50360,GZA|Bowl|Salmon ponzu,GV GYAZA,462,963.8358746,8.581895858,1.271134022,369.99,1815.41,208.62,1.86,80.08,392.95,0.28,Yellow,Green,,,TRUE
Gyaza , Spicy tuna bowl,R-65512,GZA|Bowl|Spicy albacore Tuna,GV GYAZA,516,1152.476703,9.018663949,2.109138934,390.82,2260.63,223.35,1.75,75.74,438.11,0.41,Yellow,Green,,,TRUE
Gyaza , Spicy beef bowl,R-50361,GZA|Bowl|Spicy Beef|AAD,GV GYAZA,405,7559.768419,58.40628516,22.32970193,519.83,11363.46,1866.61,14.42,128.35,2805.79,5.51,Red,Red,TRUE,,
Gyaza , Dashi & dumpling,R-51249,GZA|Dashi+Dumps|AAD,GV GYAZA,333,23.66132333,0.09363619,0.079570333,4.18,254.77,7.11,0.03,1.26,76.51,0.02,Green,Green,,,TRUE
Gyaza , Ramen broth,R-68982,GZA|ramen broth|Udon,SPECIALS,225,35.28764063,0.29701875,0.087934688,1.51,45.36,15.68,0.13,0.67,20.16,0.04,Green,Green,,,TRUE
Gyaza , Miso soup,R-50508,GZA|Soup|Miso|AAD,GV GYAZA,485,97.78483104,0.353786616,0.251479737,1.09,11.67,20.16,0.07,0.22,2.41,0.05,Green,Green,,,TRUE
,,R-56008,BEV|Rise Kombucha|Blueberry,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green,,,TRUE
Beverage , Ginger Kombucha,R-56005,BEV|Rise Kombucha|Ginger,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green,,,TRUE
Beverage , Blueberry Kombucha,R-56040,BEV|Tonica Kombucha|Blueberry,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green,,,TRUE
Beverage , Grapefruit Kombucha,R-56009,BEV|Tonica Kombucha|Grapefruit,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green,,,TRUE
Beverage , Green Tea Kombucha,R-56027,BEV|Tonica Kombucha|Green Tea,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green,,,TRUE
Beverage , Mango Kombucha,R-56004,BEV|Tonica Kombucha|Mango,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green,,,TRUE
Beverage , Original Kombucha,R-55997,BEV|Tonica Kombucha|Original,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green,,,TRUE
Beverage , Peach Kombucha,R-56072,BEV|Tonica Kombucha|Peach,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green,,,TRUE
Beverage , Cola Kombucha,R-56106,BEV|Wild Tea Kombucha|Cola,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green,,,TRUE
Beverage , Crm Kombucha,R-56313,BEV|Wild Tea Kombucha|Crm Soda,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green,,,TRUE
Beverage , Orange Kombucha,R-56026,BEV|Wild Tea Kombucha|Orange,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green,,,TRUE
Beverage , Rootberry Kombucha,R-56512,BEV|Wild Tea Kombucha|Rootbeer,BEVERAGE,1,0,0,0,0,0,0,0,0,0,0,Green,Green,,,TRUE
Delish , Apple Pecan Salad,R-58379,DEL|Salad|Apple pecan ,GV - DELISH,320,576.1514674,5.212709373,1.209419866,95.65,5166.25,180.05,1.63,29.89,1614.45,0.38,Green,Yellow,,TRUE,
Delish , Avocado Truffle,R-62269,DEL|Salad|Avocado truffle,SPECIALS,210,219.4086484,1.485948455,0.583216763,13.92,544.03,104.48,0.71,6.63,259.06,0.28,Green,Green,,,TRUE
Delish , Baja goat cheese,R-55142,DEL|Salad|Baja goat cheese,GV - DELISH,390,851.7834086,5.833109815,2.73083559,125.75,6194.94,218.41,1.5,32.24,1588.45,0.7,Yellow,Yellow,,TRUE,
Delish , Baja chicken salad,R-64467,DEL|Salad|Baja|CHICKEN,GV - DELISH,465,1282.299842,17.17115761,3.861804708,161.69,6227.37,275.76,3.69,34.77,1339.22,0.83,Yellow,Yellow,,TRUE,
Delish , Bandit,R-46547,DEL|Salad|Bandit,GV - DELISH,295,496.3628579,4.901992561,0.670003447,60.74,2820.88,168.26,1.66,20.59,956.23,0.23,Green,Green,,,TRUE
Delish , Bandit chicken salad,R-62529,DEL|Salad|Bandit|Chicken,GV - DELISH,370,936.4072917,16.24004036,1.889772564,94.54,2816.82,253.08,4.39,25.55,761.3,0.51,Yellow,Yellow,,TRUE,
Delish , Caesar classic,R-50302,DEL|Salad|Caesar Classic,GV - DELISH,280.5,627.1426095,4.777680896,1.694390696,70.52,3434.6,223.58,1.7,25.14,1224.46,0.6,Yellow,Yellow,,TRUE,
Delish , Caesar spicy,R-62019,DEL|Salad|Caesar spicy,GV - DELISH,260.5,395.3355926,4.240479075,0.760134122,61.92,2998.68,151.76,1.63,23.77,1151.12,0.29,Green,Yellow,,TRUE,
Delish , COBB,R-50301,DEL|Salad|Cobb ,GV - DELISH,400,688.9892728,8.147690556,1.820915067,85.76,3658.01,172.25,2.04,21.44,914.5,0.46,Green,Yellow,,TRUE,
Delish , Gather Greenary,R-57281,DEL|Salad|Gather Greenery,GV - DELISH,220,181.6411331,1.555385346,0.538549777,16.69,544.59,82.56,0.71,7.59,247.54,0.24,Green,Green,,,TRUE
Delish , Greek Salad,R-55144,DEL|Salad|Greek,GV - DELISH,293,674.2476067,6.953733833,1.045072756,94.39,4664.42,230.12,2.37,32.22,1591.95,0.36,Yellow,Yellow,,TRUE,
Delish , Marinated tofu salad,R-44324,DEL|Salad|Marinated Tofu,GV - DELISH,352,353.1304848,2.441434236,0.973829525,15.8,567.29,100.32,0.69,4.49,161.16,0.28,Green,Green,,,TRUE
Delish , Mediteranean Chicken Salad,R-40545,DEL|Salad|Mediteranean Chicken,GV - DELISH,545,1106.299461,19.48919659,2.855262135,147.98,2745.93,202.99,3.58,27.15,503.84,0.52,Yellow,Yellow,,TRUE,
