ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-63749,0.0024154589371980675,1.0,414ML,414.0,ml
I-54758,0.017543859649122806,1.0,each,57.0,g
I-53847,0.0024154589371980675,1.0,414ML,414.0,ml
I-34313,9.174311926605505e-05,0.01,cs,109.0,g
I-19639,0.01,1.0,ea,100.0,g
I-63683,0.022099447513812154,1.0,ea,45.25,g
I-19700,0.00909090909090909,1.0,pak,110.0,g
I-3902,0.006024096385542169,1.0,CT,166.0,g
I-63690,0.013157894736842105,1.0,ea,76.0,g
I-48660,0.005882352941176471,0.78,ea,132.6,g
I-2546,0.0023584905660377358,0.25,CT,106.0,g
I-1727,0.0014084507042253522,1.0,710ml,710.0,ml
I-2118,0.004,0.75,PTN,187.5,g
I-2778,0.008849557522123894,1.0,CT,113.0,g
I-63698,0.03524229074889868,3.0,ea,85.125,g
I-2116,0.004,0.25,PTN,62.5,g
I-2120,0.004,1.0,PTN,250.0,g
I-32271,0.03571428571428571,1.0,slice,28.0,g
I-38717,0.008849557522123894,1.0,CT,113.0,g
I-31549,0.011111111111111112,1.0,slice,90.0,g
I-53226,0.005356708059410762,0.22,ea,41.07,g
I-32265,0.035398230088495575,0.5,ea,14.125,g
I-41807,0.025,1.0,ea,40.0,g
I-41805,0.025,1.0,each,40.0,g
I-63977,0.0022026431718061676,1.0,ea,454.0,g
I-43988,0.02857142857142857,1.0,ea,35.0,g
I-42899,0.007692307692307693,1.0,ea,130.0,g
I-13970,0.004,0.5,ea,125.0,ml
I-54757,0.017543859649122806,1.0,each,57.0,g
I-51331,0.0029394992269117033,1.0,ea,340.194,g
I-38957,0.008547008547008548,1.0,ea,117.0,g
I-41804,0.09090909090909091,1.0,ea,11.0,g
I-41800,0.09090909090909091,1.0,ea,11.0,g
I-55664,0.004878048780487805,1.0,each,205.0,g
I-41803,0.09090909090909091,1.0,ea,11.0,g
I-54483,0.004545454545454545,1.0,each,220.0,ml
I-54482,0.004545454545454545,1.0,each,220.0,ml
I-42194,0.008333333333333333,0.5,each,60.0,ml
I-42203,0.009090909090909092,0.2,ea,22.0,ml
I-42202,0.009090909090909092,0.2,ea,22.0,ml
I-42201,0.009090909090909092,0.2,ea,22.0,ml
I-42200,0.009090909090909092,0.2,each,22.0,ml
