ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-15834,,SO-TEMPEH organic ,330.0,g,8.0,g,N
I-16548,,Paste Ancho,42.5,ml,8.0,fl oz,N
I-16570,,2022 Ancho Tempeh marinade,2.0,PORT,1.0,PORT,N
I-16574,,2022 Grilled Peach Salsa,40.0,g,1.0,g,N
I-16575,,2022 Lime Aioli ,30.0,g,1.0,g,N
I-1541,,APPLE ROYAL GALA 100-113CT FAN,2.0,ea,90.0,ea,N
I-2323,,SPICE CAYENNE SHAKER ,0.25,tsp,90.0,fl oz,N
I-12212,,Brown Sugar 1KG Bags,3.0,g,90.0,g,N
I-1863,,FRIES 7/16IN HARVEST PRIDE ,0.5,lb,1.0,g,N
I-2067,,ONION RING BTD TEMPURA BEEFEAT,0.5,lb,1.0,g,N
I-8460,,ITEM CHIPOLTE AIOLI,60.0,ml,1.0,ml,N
I-12266,,G18 Parmesan Aioli,60.0,ml,1.0,L,N
I-12354,,GYOZA PORK 250PC,4.0,piece,1.0,piece,N
I-14666,,Porch ITEm Dres Asian Sesame,60.0,ml,1.0,ml,N
I-17316,,2022 HH Corn Fritters,1.0,PORT,1.0,PORT,N
I-1549,,ARTICHOKE 1/4,40.0,ea,20.0,ea,N
I-1675,,CHEESE CREAM PLAIN SOFT ,1000.0,g,20.0,g,N
I-2068,,ONIONS,0.5,Kg,20.0,oz,N
I-2349,,SPINACH WASHED TRIMMED,200.0,g,20.0,oz,N
I-4184,,SAUCE RED HOT,100.0,ml,20.0,ml,N
I-2037,,BUTTER REG SALTED,225.0,g,5.0,oz,N
I-13817,,FRENCH AUS JUS,490.0,g,5.0,g,N
I-1588,,BEAN GARBANZO CHICK PEA,2.8,L,20.0,ml,N
I-2099,,PASTE TAHINI,100.0,g,20.0,g,N
I-5731,,Olive Kalamata Superior Pitted,100.0,g,20.0,g,N
I-7338,,Chicken Brst b/l s/l random,4.0,oz,1.0,oz,Y
I-8851,,ITEM PULLED PORK RUB,10.0,g,1.0,g,Y
I-13706,,SAL ATL -FLT S/OFF ,5.0,oz,1.0,oz,N
I-16787,,2022 Blackning Spice,20.0,g,1.0,g,N
I-1655,,CELERY,400.0,g,13.0,oz,N
I-13577,,Pork Rib Back Danish Baby14-18,0.5,cs,13.0,cs,N
I-14423,,CARROTS JUMBO 5LB ,400.0,g,13.0,g,N
I-15592,,JUICE ORANGE CONC 6+1,500.0,ml,13.0,ml,N
I-1689,,CHEESE PARMESAN PURE SHRED,15.0,g,1.0,g,N
I-2992,,Bacon Pre-Ckd 30-34 ct,1.0,slice,1.0,slice,N
I-5944,,Brussel Sprouts Large Fresh,200.0,g,1.0,g,N
