ConversionId,ConvertToQty,ConvertToUom,Category,CO2 Emission (g CO2),Nitrogen Lost (g),Water Withdrawals (mL),PrepId,Total CO2 Emission (g),Total Nitrogen Emission (g),Total Freshwater Withdrawals (mL),Weight (g),GHG Emission (g) / 100g,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,GHG Emission (g) / g,N lost (g) / g,Stress-Weighted Water Use (L) / g
I-24,50.0,g,54,9.3703,0.00675,24.9,P-5,468.515,0.3375,1245.0,1000.0,46.851499999999994,0.03375,0.1245,0.46851499999999996,0.0003375,0.001245
I-25,600.0,g,54,9.3703,0.00675,24.9,P-5,5622.18,4.05,14940.0,1000.0,562.2180000000001,0.40499999999999997,1.494,5.62218,0.00405,0.01494
I-35,18.0,g,54,9.3703,0.00675,24.9,P-7,168.6654,0.1215,448.2,2860.45265,5.89645838045947,0.004247579487113691,0.01566884877468606,0.058964583804594704,4.247579487113691e-05,0.0001566884877468606
I-46,1.0,g,54,9.3703,0.00675,24.9,P-8,9.3703,0.00675,24.9,260.0,3.6039615384615384,0.002596153846153846,0.009576923076923077,0.036039615384615385,2.596153846153846e-05,9.576923076923076e-05
I-57,30.0,g,54,9.3703,0.00675,24.9,P-10,281.10900000000004,0.20249999999999999,747.0,20641.64,1.3618539999728707,0.0009810267013667519,0.0036188984983751295,0.013618539999728707,9.810267013667518e-06,3.618898498375129e-05
I-84,150.0,g,54,9.3703,0.00675,24.9,P-16,1405.545,1.0125,3735.0,4750.0,29.590421052631584,0.02131578947368421,0.07863157894736843,0.2959042105263158,0.0002131578947368421,0.0007863157894736842
I-87,50.0,g,54,9.3703,0.00675,24.9,P-16,468.515,0.3375,1245.0,4750.0,9.863473684210526,0.007105263157894737,0.02621052631578948,0.09863473684210526,7.105263157894737e-05,0.0002621052631578948
I-91,30.0,g,54,9.3703,0.00675,24.9,P-17,281.10900000000004,0.20249999999999999,747.0,570.0,49.317368421052635,0.035526315789473684,0.13105263157894737,0.4931736842105264,0.0003552631578947368,0.0013105263157894736
I-105,10.0,g,54,9.3703,0.00675,24.9,P-19,93.703,0.0675,249.0,985.8,9.50527490363157,0.006847230675593427,0.025258673158855754,0.09505274903631569,6.847230675593427e-05,0.00025258673158855754
I-109,15.0,g,54,9.3703,0.00675,24.9,P-21,140.55450000000002,0.10124999999999999,373.5,1465.0,9.5941638225256,0.0069112627986348115,0.025494880546075085,0.09594163822525599,6.911262798634812e-05,0.00025494880546075084
I-124,4.0,g,54,9.3703,0.00675,24.9,P-23,37.4812,0.027,99.6,20444.0,0.18333594208569753,0.00013206808843670514,0.00048718450401095677,0.0018333594208569753,1.3206808843670514e-06,4.8718450401095675e-06
I-125,16.0,g,54,9.3703,0.00675,24.9,P-23,149.9248,0.108,398.4,20444.0,0.7333437683427901,0.0005282723537468206,0.001948738016043827,0.007333437683427901,5.2827235374682055e-06,1.948738016043827e-05
I-128,3.0,g,54,9.3703,0.00675,24.9,P-23,28.1109,0.02025,74.69999999999999,20444.0,0.13750195656427314,9.905106632752886e-05,0.0003653883780082175,0.0013750195656427313,9.905106632752886e-07,3.6538837800821752e-06
I-26,100.0,g,43,1.6414,0.0,10.1,P-5,164.14,0.0,1010.0,1000.0,16.413999999999998,0.0,0.101,0.16413999999999998,0.0,0.00101
I-65,10.0,g,43,1.6414,0.0,10.1,P-12,16.414,0.0,101.0,3764.5,0.43602071988311863,0.0,0.002682959224332581,0.004360207198831186,0.0,2.682959224332581e-05
