IngredientId,Qty,Uom,Recipe
I-2209,100.0,g,R-16760
I-2323,1.4,Tbsp,R-16760
I-2324,20.0,g,R-16760
I-2333,20.0,g,R-16760
I-3804,40.0,g,R-16760
I-6461,5.0,g,R-16760
I-7645,20.0,g,R-16760
I-12361,65.0,g,R-16760
I-14977,75.0,g,R-16760
I-1588,200.0,g,R-17378
I-2119,50.0,ml,R-17378
I-5803,10.0,g,R-17378
I-2119,40.0,ml,R-14905
I-5777,35.0,g,R-14905
I-2119,60.0,ml,R-11631
I-5777,45.0,g,R-11631
I-8389,200.0,g,R-11631
I-2066,10.0,g,P-9003
I-2121,1.0,slice,P-9003
I-2402,30.0,g,P-9003
I-2992,2.0,slice,P-9003
I-3498,1.0,slice,P-9003
I-5220,30.0,g,P-9003
I-8454,2.0,fl oz,P-9003
I-11706,1.0,ea,P-9003
I-14218,1.0,ea,P-9003
I-14948,1.0,ea,P-9003
I-1863,460.0,g,R-9017
I-1958,60.0,ml,R-9017
I-2119,80.0,ml,R-9017
I-8667,2.0,fl oz,R-9017
I-8851,6.0,g,R-9017
I-1782,60.0,ml,R-15449
I-1894,10.0,g,R-15449
I-2203,60.0,ml,R-15449
I-10955,5.0,oz,R-15449
I-11000,8.0,fl oz,R-15449
I-11125,6.0,fl oz,R-15449
I-14294,10.0,oz,R-15449
I-14531,8.0,oz,R-15449
I-14532,60.0,g,R-15449
I-1782,50.0,ml,R-14525
I-1894,20.0,g,R-14525
I-2119,10.0,ml,R-14525
I-2203,50.0,ml,R-14525
I-4014,8.0,ea,R-14525
I-10955,60.0,g,R-14525
I-11125,2.0,fl oz,R-14525
I-13719,1.0,ea,R-14525
I-14532,30.0,g,R-14525
I-16223,0.02,1 KG,R-14525
I-17040,20.0,g,R-14525
I-1874,120.0,g,R-16855
I-2119,300.0,ml,R-16855
I-1773,1.0,oz,R-14507
I-1894,0.5,oz,R-14507
I-3337,4.0,ea,R-14507
I-3914,3.0,oz,R-14507
I-12351,2.0,g,R-14507
I-13733,2.0,oz,R-14507
I-14423,2.0,oz,R-14507
I-14504,1.0,fl oz,R-14507
I-14505,5.0,oz,R-14507
I-14666,1.0,fl oz,R-14507
I-14732,200.0,g,R-14507
I-1894,50.0,g,R-14271
I-2037,4.0,oz,R-14271
I-2181,2400.0,g,R-14271
I-2640,4.0,L,R-14271
I-4091,10.0,g,R-14271
I-8151,0.5,LBS,R-14271
I-1752,0.02,BUNCH,R-15438
I-1971,0.25,ea,R-15438
I-1995,5.0,g,R-15438
I-3005,5.0,g,R-15438
I-5106,1.0,oz,R-15438
I-7338,6.0,oz,R-15438
I-12135,20.0,g,R-15438
I-13719,2.0,ea,R-15438
I-13746,6.0,fl oz,R-15438
I-14822,1.0,oz,R-15438
I-15477,1.0,PORT,R-15438
I-2066,2.0,oz,R-16791
I-2121,2.0,slice,R-16791
I-2402,40.0,g,R-16791
I-2992,4.0,slice,R-16791
I-3354,1.0,ea,R-16791
I-3498,2.0,slice,R-16791
I-5220,30.0,g,R-16791
I-8454,2.0,fl oz,R-16791
I-13719,1.0,ea,R-16791
I-14218,2.0,ea,R-16791
I-14948,1.0,ea,R-16791
I-1752,0.05,BUNCH,R-16574
I-1927,5.0,g,R-16574
I-2103,300.0,ml,R-16574
I-2402,56.0,g,R-16574
I-6204,30.0,g,R-16574
I-14419,20.0,g,R-16574
I-2103,800.0,ml,R-17039
I-11125,230.0,ml,R-17039
I-2133,1.0,ea,R-16794
I-3230,10.0,g,R-16794
I-4091,25.0,g,R-16794
I-15925,3.0,oz,R-16794
I-13719,1.0,ea,R-16773
I-16638,1.0,ea,R-16773
I-1782,6.0,fl oz,R-16831
I-1897,6.0,fl oz,R-16831
I-2067,1.0,lb,R-16831
I-2203,6.0,fl oz,R-16831
I-4014,10.0,ea,R-16831
I-9017,1.0,ea,R-16831
I-12266,0.25,L,R-16831
I-12354,10.0,piece,R-16831
I-13694,2.0,fl oz,R-16831
I-13719,5.0,ea,R-16831
P-15013,1.0,PORT,R-16831
I-16760,10.0,g,R-16831
I-1636,60.0,g,R-17371
I-2119,10.0,ml,R-17371
I-2209,5.0,g,R-17371
I-2337,2.0,tsp,R-17371
I-3230,3.0,g,R-17371
I-4925,5.0,g,R-17371
I-5908,15.0,g,R-17371
I-12877,5.0,g,R-17371
I-13813,0.2,LBS,R-17371
I-15200,60.0,g,R-17371
I-16778,20.0,g,R-17371
I-17352,30.0,ml,R-17371
I-1752,1.0,BUNCH,R-17013
I-2087,1.0,BUNCH,R-17013
I-2119,400.0,ml,R-17013
