ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g * sales
R-36552,FF|Yaki Soba Miso Noodle|SP,GV FRESH FARE DAY,470.3599634,683,0.4704,0.068867,68.866759,189,13015.81745
R-45468,GRL|Add|Spinach,ADD ONS,22.48761837,33,0.0225,0.068144,68.144298,705,48041.73009
R-45233,GRL|Side|Potato Fries,GV GRILL DAY,150.9709245,230,0.151,0.06564,65.639532,15725,1032181.641
R-44777,GRL|Poutine|Mushroom,GV GRILL DAY,277.7552952,431,0.2778,0.064444,64.444384,45,2899.99728
R-43867,FLX|Bao,GV FLEX BAO,161.6944354,251,0.1617,0.06442,64.420094,36,2319.123384
R-36856,SL|Potato|Smashed kale,GV - FLEX BC,107.2793426,180,0.1073,0.0596,59.599635,79,4708.371165
R-52652,SL|Side|Roasted Potato,GV SIMPLY LOCAL,104.3184383,180,0.1043,0.057955,57.954688,101,5853.423488
R-51254,FLX|Carrot Noodle|PF,GV-FLEX PLANT FORWARD,61.1986521,106,0.0612,0.057735,57.734577,4,230.938308
R-55319,G&G|Rotini Veggie SunDry Pesto,GV - GRAB & GO,246.3331715,436.796,0.2463,0.056395,56.395473,14,789.536622
R-51249,GZA|Combo|Miso+Cone|CHICK,GV GYAZA,319.0517223,577,0.3191,0.055295,55.294926,2,110.589852
R-47098,DOD|Potato salad|FLX,GV-FLEX DOD,162.8515412,300,0.1629,0.054284,54.283847,2,108.567694
R-44915,GRL|Hash|Lemon Truffle Delux,GV - GRILL BREAKFAST,131.7537587,258,0.1318,0.051067,51.067348,4691,239556.9295
R-50364,GZA|Combo|Miso+Cone|SAL,GV GYAZA,263.0058076,587.5,0.263,0.044767,44.766946,230,10296.39758
R-53289,CAL|Soup|Mexican Veggie|Sp,GV - CALIENTE,200.8113593,450,0.2008,0.044625,44.624747,41,1829.614627
R-45802,FRUIT|Avocado,GV - FRUIT,58.56160937,136.0000218,0.0586,0.04306,43.06,3532,152087.92
R-13566,FRUIT|Kiwi,GV - FRUIT,29.71140743,69.00001725,0.0297,0.04306,43.06,366,15759.96
R-13948,FRUIT|Canteloupe|1/4 cut,GV - FRUIT,59.42293786,138.0003202,0.0594,0.04306,43.06,214,9214.84
R-13575,FRUIT|Cup|Grapes,GV - FRUIT,48.8291788,113.398,0.0488,0.04306,43.06,184,7923.04
R-13576,FRUIT|Honeydew 1/4 Cut,GV - FRUIT,161.4741926,374.998125,0.1615,0.04306,43.06,161,6932.66
R-44791,CAL|Side|Guacamole,GV - CALIENTE,19.377,45,0.0194,0.04306,43.06,26,1119.56
R-46351,FRUIT|Nectarine,GV - FRUIT,61.14523057,142.000071,0.0611,0.04306,43.06,1,43.06
R-16240,FRUIT|Pear|Bartlet,GV - FRUIT,76.64676628,177.9999217,0.0766,0.04306,43.06,1,43.06
R-51247,GZA|Combo|Miso+Cone|TUN,GV GYAZA,239.3727035,557.5,0.2394,0.042937,42.936808,101,4336.617608
R-55090,FREE|Greens|Spin Avocado Pasta,GV FRESH FARE DAY,541.5918774,1355,0.5416,0.03997,39.96988,1,39.96988
R-39821,G&G|Chips|Hardbite|Rocksalt,GV - GRAB & GO,19.85,50,0.0199,0.0397,39.7,365,14490.5
R-13564,FRUIT|Orange Whole,GV - FRUIT,51.64018502,130.999962,0.0516,0.03942,39.42,2981,117511.02
R-34978,FRUIT|Grapefruit,GV - FRUIT,48.48660776,123.0000197,0.0485,0.03942,39.42,759,29919.78
R-38544,FRUIT|Lemon,GV - FRUIT,33.1128053,84.00001344,0.0331,0.03942,39.42,322,12693.24
R-42550,FRUIT|Lime,GV - FRUIT,26.41140555,67.00001407,0.0264,0.03942,39.42,227,8948.34
R-47747,FREE|Green-To-Go|Orange,GV - GRAB & GO,51.64018502,130.999962,0.0516,0.03942,39.42,37,1458.54
R-46333,FRUIT|Mandarin,GV - FRUIT,39.42,100,0.0394,0.03942,39.42,1,39.42
R-40891,FRUIT|Orange Cut,GV - FRUIT,51.64018502,132.999962,0.0516,0.038827,38.827218,1208,46903.27934
R-37051,FLX|Side Naan,GV FLEX GLOBAL BOWL,95.70990834,250,0.0957,0.038284,38.283963,638,24425.16839
R-47001,FREE|Green-To-Go|Fruit,GV - GRAB & GO,49.57482494,135.5999029,0.0496,0.03656,36.559632,199,7275.366768
R-39817,FRUIT|Apple|BC Asst,GV - FRUIT,82.14448195,229.3897848,0.0821,0.03581,35.81,3481,124654.61
R-13560,FRUIT|Apple|Gala,GV - FRUIT,65.17414656,181.9998508,0.0652,0.03581,35.81,2085,74663.85
R-13563,FRUIT|Apple|Red Delicious,GV - FRUIT,65.17414656,181.9998508,0.0652,0.03581,35.81,1236,44261.16
R-13562,FRUIT|Apple|Granny Smith,GV - FRUIT,65.17414656,181.9998508,0.0652,0.03581,35.81,1105,39570.05
R-13559,FRUIT|Apple|Fuji 64,GV - FRUIT,68.755244,192.0001229,0.0688,0.03581,35.81,1014,36311.34
R-34989,FRUIT|Apple|Golden Delicious,GV - FRUIT,60.51889758,168.9999932,0.0605,0.03581,35.81,572,20483.32
R-49588,FRUIT|Apple|Ambrosia,GV - FRUIT,65.17414656,181.9998508,0.0652,0.03581,35.81,283,10134.23
R-37832,FRUIT|Apple|Fuji 113ct,GV - FRUIT,65.17414656,181.9998508,0.0652,0.03581,35.81,92,3294.52
R-47000,FREE|Green-To-Go|Apple Asst,GV - GRAB & GO,65.17414656,181.9998508,0.0652,0.03581,35.81,86,3079.66
R-49587,FRUIT|Apple|Macintosh,GV - FRUIT,65.17414656,181.9998508,0.0652,0.03581,35.81,43,1539.83
R-53356,POP|Fennel Bouillabaisse|MR,SPECIALS,83.284362,236,0.0833,0.03529,35.289984,62,2187.979008
R-14102,SIDE|SoupCongee|Plain,GV - SOUP,146.2343368,453.592,0.1462,0.032239,32.239179,416,13411.49846
R-13177,G&G|Spread|Jam & Peanut Butter,GV - GRAB & GO,0.5702048,3.173000047,0.0006,0.017971,17.970526,5041,90589.42157
R-50508,GZA|Soup|Miso,GV GYAZA,75.29770104,485,0.0753,0.015525,15.525299,1,15.525299
R-49912,GZA|Miso for cone|SP,SPECIALS,1.129129,185,0.0011,0.00061,0.61034,101,61.64434
R-30499,DEL|Des|Soft Serve|8oz,GV - DELISH,0.222372267,224,0.0002,0.000099,0.099273,42,4.169466

