PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission(g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom,Land Use (m^2),Land Use (m^2)/StdUom
P-18335,Poboy Prep 2023,22.0,PORT,Y,5170.0,g,22187.762500000004,4.291636847195359,586.2397500000001,0.1133926015473888,1869989.625,361.7001208897486,2594962.625,501.92700676982594,57.72424999999999,0.011165232108317213
P-14553,Porch Prep Vegan Cole Slaw,1.0,PORT,N,84.82,g,85.2718635,1.0053273225654327,0.514906575,0.006070579757132753,2752.526625,32.45138676019807,113840.63745,1342.1438039377506,0.34878877499999994,0.004112105340721528
P-4326,PREP AVOCADO ,1.0,ea,N,20.1,g,8.65506065778461,0.43060003272560243,0.05427000412452032,0.002700000205200016,70.35000534660041,3.5000002660000202,94.47000717972055,4.700000357200027,0.014271001084596084,0.0007100000539600041
P-14352,PREP CALIFORNIA ROLL,1.0,PORT,N,265.85,g,1860.061741570466,6.996658798459529,6.212261007397421,0.023367541874731692,199169.89718523124,749.1814827354946,5872729.750880183,22090.388380215092,0.5055414498619639,0.0019016040995371972
P-8267,PREP CARMALIZED ONION,10.0,2 KG,N,49869.0,g,29876.298799999997,0.5990956064890011,359.33768,0.0072056323567747495,93182.48,1.868545188393591,2653474.4,53.208895305700935,103.190376,0.0020692288997172592
P-14411,PREP CATERPILLAR ROLL,1.0,PORT,N,368.5,g,753.4089683695547,2.0445290864845447,2.7178663000911625,0.007375485210559464,66597.02910250811,180.72463799866514,3577436.7563448953,9708.105173256161,0.2980311452298484,0.0008087683724012168
P-14383,PREP CHICKEN TERI ROLL,1.0,PORT,N,310.64,g,438.43166804025407,1.4113818826946114,9.665112500460975,0.031113547838208133,55996.07956231855,180.2603642876595,1875049.6021303541,6036.085507759317,1.0736179392878324,0.0034561484010038387
P-14372,PREP CONDIMEMT MAKI,1.0,PORT,N,23.17,g,14.997675749999999,0.6472885520069054,0.08437375000000001,0.003641508416055244,185.455025,8.004101208459215,1892.448025,81.67665192058696,0.03837087,0.001656058264997842
P-14376,PREP CONDIMENT COMBO,1.0,PORT,N,32.17,g,24.36797575,0.7574751554243083,0.09787375,0.003042391980105688,230.58002499999998,7.167548181535591,3247.673025,100.953466739198,0.06937087,0.0021563838980416536
P-8099,PREP CONDIMENT ROLL,1.0,srvg,N,37.34,g,75.7421494,2.028445350830209,0.2573056999999999,0.006890886448848417,26030.2767,697.115069630423,1835599.05945,49159.053547134434,0.13646014,0.0036545297268344937
P-15606,PREP CONTAINER MAKI,1.0,PORT,N,24.79,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P-14403,PREP CREAM CHEESE,12.0,PORT,N,450.0,g,4009.68,8.9104,41.985,0.0933,701685.0,1559.3,36208395.0,80463.1,4.707,0.010459999999999999
